TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE
IDI_Clean_20190420,acc_clean,claims,acc_cla_wilful_self_inflicted_ind_date,29,date
IDI_Clean_20190420,acc_clean,claims,acc_cla_fatal_ind,30,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_gradual_process_ind,31,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_at_work_ind,32,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_entitlement_claim_ind,33,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_ethnic1_text,34,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_ethnic2_text,35,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_ethnic3_text,36,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_prioritised_ethnic_text,37,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_lodgement_date,38,date
IDI_Clean_20190420,acc_clean,claims,acc_cla_registration_date,39,date
IDI_Clean_20190420,acc_clean,claims,acc_cla_primary_injury_body_side_text,40,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_read_code,41,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_read_code_text,42,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_ICD9_code,43,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_ICD10_code,44,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_primary_injury_site_text,45,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_primary_diagnosis_text,46,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_primary_diagnosis_group_text,47,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_birth_month_nbr,48,tinyint
IDI_Clean_20190420,acc_clean,claims,acc_cla_birth_year_nbr,49,smallint
IDI_Clean_20190420,acc_clean,claims,acc_cla_sex_snz_code,50,varchar
IDI_Clean_20190420,acc_clean,claims,snz_acc_nhi_uid,51,int
IDI_Clean_20190420,acc_clean,claims,acc_cla_employee_ird_invalid_ind,52,bit
IDI_Clean_20190420,acc_clean,claims,acc_cla_classification_unit_text,53,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_classification_unit_code,54,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_industry_desc_text,55,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_industry_code,56,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_accident_region_text,57,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_accident_ta_text,58,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_work_related_ind,59,char
IDI_Clean_20190420,acc_clean,claims,acc_cla_ethnic1_snz_code,60,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_ethnic2_snz_code,61,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_ethnic3_snz_code,62,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_prioritised_ethnic_snz_code,63,varchar
IDI_Clean_20190420,acc_clean,claims,acc_cla_ethnic_grp1_snz_ind,64,bit
IDI_Clean_20190420,acc_clean,claims,acc_cla_ethnic_grp2_snz_ind,65,bit
IDI_Clean_20190420,acc_clean,claims,acc_cla_ethnic_grp3_snz_ind,66,bit
IDI_Clean_20190420,acc_clean,claims,acc_cla_ethnic_grp4_snz_ind,67,bit
IDI_Clean_20190420,acc_clean,claims,acc_cla_ethnic_grp5_snz_ind,68,bit
IDI_Clean_20190420,acc_clean,claims,acc_cla_ethnic_grp6_snz_ind,69,bit
IDI_Clean_20190420,acc_clean,claims,snz_idi_address_register_uid,70,int
IDI_Clean_20190420,acc_clean,claims,acc_cla_region_code,71,char
IDI_Clean_20190420,acc_clean,claims,acc_cla_ta_code,72,char
IDI_Clean_20190420,acc_clean,claims,acc_cla_meshblock_code,73,char
IDI_Clean_20190420,acc_clean,claims,acc_cla_meshblock_imputed_ind,74,varchar
IDI_Clean_20190420,acc_clean,claims,snz_acc_claim_form_45_uid,75,int
IDI_Clean_20190420,acc_clean,medical_codes,snz_acc_claim_uid,1,int
IDI_Clean_20190420,acc_clean,medical_codes,acc_med_injury_count_nbr,2,smallint
IDI_Clean_20190420,acc_clean,medical_codes,acc_med_injury_precedence_nbr,3,tinyint
IDI_Clean_20190420,acc_clean,medical_codes,acc_med_read_code,4,varchar
IDI_Clean_20190420,acc_clean,medical_codes,acc_med_read_code_text,5,varchar
IDI_Clean_20190420,acc_clean,medical_codes,acc_med_ICD9_code,6,varchar
IDI_Clean_20190420,acc_clean,medical_codes,acc_med_ICD9_text,7,varchar
IDI_Clean_20190420,acc_clean,medical_codes,acc_med_ICD10_code,8,varchar
IDI_Clean_20190420,acc_clean,medical_codes,acc_med_ICD10_text,9,varchar
IDI_Clean_20190420,acc_clean,medical_codes,acc_med_injury_diagnosis_code,10,char
IDI_Clean_20190420,acc_clean,medical_codes,acc_med_injury_diagnosis_text,11,varchar
IDI_Clean_20190420,acc_clean,medical_codes,acc_med_injury_diagnosis_group_text,12,varchar
IDI_Clean_20190420,acc_clean,medical_codes,acc_med_primary_injury_ind,13,char
IDI_Clean_20190420,acc_clean,medical_codes,acc_med_accident_date,14,date
IDI_Clean_20190420,acm_clean,acm_client,snz_uid,1,int
IDI_Clean_20190420,acm_clean,acm_client,snz_acm_uid,2,int
IDI_Clean_20190420,acm_clean,acm_client,snz_unique_nbr,3,bigint
IDI_Clean_20190420,acm_clean,acm_client,acm_cli_birth_month_nbr,4,tinyint
IDI_Clean_20190420,acm_clean,acm_client,acm_cli_birth_year_nbr,5,smallint
IDI_Clean_20190420,acm_clean,acm_client,acm_snz_gender_code,6,varchar
IDI_Clean_20190420,acm_clean,acm_client,acm_cli_marital_status_code,7,varchar
IDI_Clean_20190420,acm_clean,acm_client,acm_cli_entered_date,8,date
IDI_Clean_20190420,acm_clean,acm_client,acm_cli_residency_status_code,9,varchar
IDI_Clean_20190420,acm_clean,acm_client,acm_cli_iwi_code,10,varchar
IDI_Clean_20190420,acm_clean,acm_client,acm_cli_ethnicity_1_code,11,varchar
IDI_Clean_20190420,acm_clean,acm_client,acm_cli_ethnicity_2_code,12,varchar
IDI_Clean_20190420,acm_clean,acm_client,acm_cli_ethnicity_3_code,13,varchar
IDI_Clean_20190420,acm_clean,acm_client,acm_cli_ethnic1_snz_code,14,varchar
IDI_Clean_20190420,acm_clean,acm_client,acm_cli_ethnic2_snz_code,15,varchar
IDI_Clean_20190420,acm_clean,acm_client,acm_cli_ethnic3_snz_code,16,varchar
IDI_Clean_20190420,acm_clean,acm_client,acm_cli_ethnic_grp1_snz_ind,17,bit
IDI_Clean_20190420,acm_clean,acm_client,acm_cli_ethnic_grp2_snz_ind,18,bit
IDI_Clean_20190420,acm_clean,acm_client,acm_cli_ethnic_grp3_snz_ind,19,bit
IDI_Clean_20190420,acm_clean,acm_client,acm_cli_ethnic_grp4_snz_ind,20,bit
IDI_Clean_20190420,acm_clean,acm_client,acm_cli_ethnic_grp5_snz_ind,21,bit
IDI_Clean_20190420,acm_clean,acm_client,acm_cli_ethnic_grp6_snz_ind,22,bit
IDI_Clean_20190420,acm_clean,acm_client,snz_idi_address_register_uid,23,int
IDI_Clean_20190420,acm_clean,acm_client,acm_cli_region_code,24,char
IDI_Clean_20190420,acm_clean,acm_client,acm_cli_ta_code,25,char
IDI_Clean_20190420,acm_clean,acm_client,acm_cli_meshblock_code,26,char
IDI_Clean_20190420,acm_clean,acm_client,acm_cli_meshblock_imputed_ind,27,varchar
IDI_Clean_20190420,acm_clean,acm_expense,snz_uid,1,int
IDI_Clean_20190420,acm_clean,acm_expense,snz_acm_uid,2,int
IDI_Clean_20190420,acm_clean,acm_expense,snz_unique_nbr,3,bigint
IDI_Clean_20190420,acm_clean,acm_expense,acm_exp_expense_item_code,4,varchar
IDI_Clean_20190420,acm_clean,acm_expense,acm_exp_week_amt,5,decimal
IDI_Clean_20190420,acm_clean,acm_expense,acm_exp_entered_date,6,date
IDI_Clean_20190420,acm_clean,acm_expense,acm_exp_phone_arrears_ind,7,bit
IDI_Clean_20190420,acm_clean,acm_expense,acm_exp_electric_arrears_ind,8,bit
IDI_Clean_20190420,acm_clean,acm_expense,acm_exp_gas_arrears_ind,9,bit
IDI_Clean_20190420,acm_clean,acm_followup,snz_uid,1,int
IDI_Clean_20190420,acm_clean,acm_followup,snz_acm_uid,2,int
IDI_Clean_20190420,acm_clean,acm_followup,snz_unique_nbr,3,bigint
IDI_Clean_20190420,acm_clean,acm_followup,acm_fol_action_date,4,date
IDI_Clean_20190420,acm_clean,acm_followup,acm_fol_entered_date,5,date
IDI_Clean_20190420,acm_clean,acm_followup,acm_fol_home_visit_ind,6,bit
IDI_Clean_20190420,acm_clean,acm_followup,acm_fol_phone_client_ind,7,bit
IDI_Clean_20190420,acm_clean,acm_followup,acm_fol_phone_agency_ind,8,bit
IDI_Clean_20190420,acm_clean,acm_followup,acm_fol_office_interview_ind,9,bit
IDI_Clean_20190420,acm_clean,acm_followup,acm_fol_case_closed_ind,10,bit
IDI_Clean_20190420,acm_clean,acm_followup,acm_fol_case_closed_date,11,date
IDI_Clean_20190420,acm_clean,acm_followup,acm_fol_comms_behalf_ind,12,bit
IDI_Clean_20190420,acm_clean,acm_followup,acm_fol_facilitate_service_ind,13,bit
IDI_Clean_20190420,acm_clean,acm_followup,acm_fol_not_attend_ind,14,bit
IDI_Clean_20190420,acm_clean,acm_followup,acm_fol_support_offsite_ind,15,bit
IDI_Clean_20190420,acm_clean,acm_followup,acm_fol_HEAS_complete_nbr,16,decimal
IDI_Clean_20190420,acm_clean,acm_followup,acm_fol_interaction_code,17,varchar
IDI_Clean_20190420,acm_clean,acm_followup,acm_fol_status_code,18,varchar
IDI_Clean_20190420,acm_clean,acm_followup,acm_fol_income_code,19,varchar
IDI_Clean_20190420,acm_clean,acm_followup,acm_fol_criteria_code,20,varchar
IDI_Clean_20190420,acm_clean,acm_health,snz_uid,1,int
IDI_Clean_20190420,acm_clean,acm_health,snz_acm_uid,2,int
IDI_Clean_20190420,acm_clean,acm_health,snz_unique_nbr,3,bigint
IDI_Clean_20190420,acm_clean,acm_health,acm_had_assessment_date,4,date
IDI_Clean_20190420,acm_clean,acm_health,acm_had_arrived_detox_ind,5,bit
IDI_Clean_20190420,acm_clean,acm_health,acm_had_last_drink_date,6,date
IDI_Clean_20190420,acm_clean,acm_health,acm_had_last_drug_date,7,date
IDI_Clean_20190420,acm_clean,acm_health,acm_had_discharge_date,8,date
IDI_Clean_20190420,acm_clean,acm_health,acm_had_complete_prog_ind,9,bit
IDI_Clean_20190420,acm_clean,acm_health,acm_had_arrived_prog_code,10,varchar
IDI_Clean_20190420,acm_clean,acm_health,acm_had_prev_treat_ACM_code,11,varchar
IDI_Clean_20190420,acm_clean,acm_health,acm_had_prev_treat_other_code,12,varchar
IDI_Clean_20190420,acm_clean,acm_health,acm_had_drugs_last_12month_code,13,varchar
IDI_Clean_20190420,acm_clean,acm_health,acm_had_prob_drug_use_code,14,varchar
IDI_Clean_20190420,acm_clean,acm_health,acm_had_current_legal_prob_code,15,varchar
IDI_Clean_20190420,acm_clean,acm_health,acm_had_education_code,16,varchar
IDI_Clean_20190420,acm_clean,acm_health,acm_had_entered_date,17,date
IDI_Clean_20190420,acm_clean,acm_health,acm_had_current_smoker_ind,18,bit
IDI_Clean_20190420,acm_clean,acm_household,snz_uid,1,int
IDI_Clean_20190420,acm_clean,acm_household,snz_acm_uid,2,int
IDI_Clean_20190420,acm_clean,acm_household,snz_unique_nbr,3,smallint
IDI_Clean_20190420,acm_clean,acm_household,member_snz_uid,4,int
IDI_Clean_20190420,acm_clean,acm_household,member_snz_acm_uid,5,int
IDI_Clean_20190420,acm_clean,acm_household,acm_hhm_relationship_code,6,varchar
IDI_Clean_20190420,acm_clean,acm_household,acm_snz_sex_code,7,char
IDI_Clean_20190420,acm_clean,acm_household,acm_hhm_birth_month_nbr,8,tinyint
IDI_Clean_20190420,acm_clean,acm_household,acm_hhm_birth_year_nbr,9,smallint
IDI_Clean_20190420,acm_clean,acm_household,acm_hhm_entered_date,10,date
IDI_Clean_20190420,acm_clean,acm_household,acm_hhm_child_perm_care_ind,11,bit
IDI_Clean_20190420,acm_clean,acm_household,acm_hhm_child_part_care_ind,12,bit
IDI_Clean_20190420,acm_clean,acm_housing,snz_uid,1,int
IDI_Clean_20190420,acm_clean,acm_housing,snz_acm_uid,2,int
IDI_Clean_20190420,acm_clean,acm_housing,snz_unique_nbr,3,bigint
IDI_Clean_20190420,acm_clean,acm_housing,acm_has_housing_status_code,4,varchar
IDI_Clean_20190420,acm_clean,acm_housing,acm_has_pays_rent_to_code,5,varchar
IDI_Clean_20190420,acm_clean,acm_housing,acm_has_bedrooms_nbr,6,smallint
IDI_Clean_20190420,acm_clean,acm_housing,acm_has_weekly_rental_amt,7,decimal
IDI_Clean_20190420,acm_clean,acm_housing,acm_has_accom_supp_ind,8,bit
IDI_Clean_20190420,acm_clean,acm_housing,acm_has_spec_needs_aware_ind,9,bit
IDI_Clean_20190420,acm_clean,acm_housing,acm_has_budget_advice_aware_ind,10,bit
IDI_Clean_20190420,acm_clean,acm_housing,acm_has_food_parcel_prev_ind,11,bit
IDI_Clean_20190420,acm_clean,acm_housing,acm_has_entered_date,12,date
IDI_Clean_20190420,acm_clean,acm_housing,acm_has_HNZ_app_ind,13,bit
IDI_Clean_20190420,acm_clean,acm_income,snz_uid,1,int
IDI_Clean_20190420,acm_clean,acm_income,snz_acm_uid,2,int
IDI_Clean_20190420,acm_clean,acm_income,snz_unique_nbr,3,bigint
IDI_Clean_20190420,acm_clean,acm_income,acm_iab_ben_type_code,4,varchar
IDI_Clean_20190420,acm_clean,acm_income,acm_iab_ben_category_code,5,varchar
IDI_Clean_20190420,acm_clean,acm_income,acm_iab_ben_date,6,date
IDI_Clean_20190420,acm_clean,acm_income,acm_iab_weekly_amt,7,decimal
IDI_Clean_20190420,acm_clean,acm_income,acm_iab_entered_date,8,date
IDI_Clean_20190420,acm_clean,acm_income,acm_iab_employ_status_code,9,varchar
IDI_Clean_20190420,acm_clean,acm_income,acm_iab_employ_history_code,10,varchar
IDI_Clean_20190420,acm_clean,acm_out_service,snz_acm_outreach_uid,1,int
IDI_Clean_20190420,acm_clean,acm_out_service,snz_uid,2,int
IDI_Clean_20190420,acm_clean,acm_out_service,snz_acm_uid,3,int
IDI_Clean_20190420,acm_clean,acm_out_service,acm_out_first_sight_date,4,date
IDI_Clean_20190420,acm_clean,acm_out_service,acm_out_last_sight_date,5,date
IDI_Clean_20190420,acm_clean,acm_out_service,acm_out_hoss_alerted_date,6,date
IDI_Clean_20190420,acm_clean,acm_out_service,acm_out_income_source_code,7,varchar
IDI_Clean_20190420,acm_clean,acm_out_service,acm_out_cyfs_client_ind,8,varchar
IDI_Clean_20190420,acm_clean,acm_out_service_ep,snz_acm_outreach_uid,1,int
IDI_Clean_20190420,acm_clean,acm_out_service_ep,acm_ose_outreach_interact_date,2,date
IDI_Clean_20190420,acm_clean,acm_out_service_ep,acm_ose_housing_status_code,3,varchar
IDI_Clean_20190420,acm_clean,acm_out_service_ep,acm_ose_engagement_status_code,4,varchar
IDI_Clean_20190420,acm_clean,acm_sanctions,snz_uid,1,int
IDI_Clean_20190420,acm_clean,acm_sanctions,snz_acm_uid,2,int
IDI_Clean_20190420,acm_clean,acm_sanctions,snz_unique_nbr,3,bigint
IDI_Clean_20190420,acm_clean,acm_sanctions,acm_san_sanction_start_date,4,date
IDI_Clean_20190420,acm_clean,acm_sanctions,acm_san_sanction_end_date,5,date
IDI_Clean_20190420,acm_clean,acm_sanctions,acm_san_sanction_descrip_code,6,varchar
IDI_Clean_20190420,acm_clean,acm_sanctions,acm_san_sanction_reason_code,7,varchar
IDI_Clean_20190420,acm_clean,acm_sanctions,acm_san_evicted_ind,8,bit
IDI_Clean_20190420,acm_clean,acm_sanctions,acm_san_generated_debt_ind,9,bit
IDI_Clean_20190420,acm_clean,acm_sanctions,acm_san_commit_crime_ind,10,bit
IDI_Clean_20190420,acm_clean,acm_services,snz_uid,1,int
IDI_Clean_20190420,acm_clean,acm_services,snz_acm_uid,2,int
IDI_Clean_20190420,acm_clean,acm_services,snz_unique_nbr,3,bigint
IDI_Clean_20190420,acm_clean,acm_services,acm_ser_service_date,4,date
IDI_Clean_20190420,acm_clean,acm_services,acm_ser_office_code,5,varchar
IDI_Clean_20190420,acm_clean,acm_services,acm_ser_service_request_code,6,varchar
IDI_Clean_20190420,acm_clean,acm_services,acm_ser_service_grant_ind,7,bit
IDI_Clean_20190420,acm_clean,acm_services,acm_ser_parcel_type_code,8,varchar
IDI_Clean_20190420,acm_clean,acm_services,acm_ser_sng_nbr,9,int
IDI_Clean_20190420,acm_clean,acm_services,acm_ser_enrolled_calder_ind,10,bit
IDI_Clean_20190420,acm_clean,acm_services,acm_ser_casual_dr_patient_ind,11,bit
IDI_Clean_20190420,acm_clean,acm_services,acm_ser_entered_date,12,date
IDI_Clean_20190420,acm_clean,acm_services,acm_ser_activity_type_code,13,varchar
IDI_Clean_20190420,acm_clean,acm_services,acm_ser_sac_ind,14,bit
IDI_Clean_20190420,acm_clean,acm_services,acm_ser_food_parcel_ind,15,bit
IDI_Clean_20190420,acm_clean,acm_services,acm_ser_sng_ind,16,bit
IDI_Clean_20190420,acm_clean,acm_services,acm_ser_furniture_ind,17,bit
IDI_Clean_20190420,acm_clean,acm_services,acm_ser_clothing_ind,18,bit
IDI_Clean_20190420,acm_clean,acm_services,acm_ser_case_managed_ind,19,bit
IDI_Clean_20190420,acm_clean,acm_services,acm_ser_refer_internal_ind,20,bit
IDI_Clean_20190420,acm_clean,acm_services,acm_ser_refer_external_ind,21,bit
IDI_Clean_20190420,acm_clean,acm_services,acm_ser_dty_ind,22,bit
IDI_Clean_20190420,acm_clean,acm_services,acm_ser_resid_detox_ind,23,bit
IDI_Clean_20190420,acm_clean,acm_services,acm_ser_a_d_assess_ind,24,bit
IDI_Clean_20190420,acm_clean,acm_services,acm_ser_homeless_ind,25,bit
IDI_Clean_20190420,acm_clean,acm_services,acm_ser_doctor_ind,26,bit
IDI_Clean_20190420,acm_clean,acm_services,acm_ser_nurse_ind,27,bit
IDI_Clean_20190420,acm_clean,acm_services,acm_ser_mental_health_nurse_ind,28,bit
IDI_Clean_20190420,acm_clean,acm_services,acm_ser_none_ind,29,bit
IDI_Clean_20190420,acm_clean,acm_services,acm_ser_declined_food_ind,30,bit
IDI_Clean_20190420,acm_clean,acm_services,acm_ser_outreach_ep_ind,31,bit
IDI_Clean_20190420,acm_clean,acm_services,acm_ser_outreach_notify_ind,32,bit
IDI_Clean_20190420,br_clean,enterprise,br_ent_enterprise_nbr,1,char
IDI_Clean_20190420,br_clean,enterprise,br_ent_dim_start_month_key,2,int
IDI_Clean_20190420,br_clean,enterprise,br_ent_dim_end_month_key,3,int
IDI_Clean_20190420,br_clean,enterprise,br_ent_live_ind,4,char
IDI_Clean_20190420,br_clean,enterprise,br_ent_life_cycle_code,5,char
IDI_Clean_20190420,br_clean,enterprise,br_ent_birth_date,6,datetime
IDI_Clean_20190420,br_clean,enterprise,br_ent_anzsic96_code,7,char
IDI_Clean_20190420,br_clean,enterprise,br_ent_anzsic96_imp_code,8,char
IDI_Clean_20190420,br_clean,enterprise,br_ent_anzsic06_code,9,char
IDI_Clean_20190420,br_clean,enterprise,br_ent_anzsic06_imp_code,10,char
IDI_Clean_20190420,br_clean,enterprise,br_ent_derived_ind,11,char
IDI_Clean_20190420,br_clean,enterprise,br_ent_economic_sig_ind,12,char
IDI_Clean_20190420,br_clean,enterprise,br_ent_bop_ownership_rate,13,tinyint
IDI_Clean_20190420,br_clean,enterprise,br_ent_trading_division_ind,14,char
IDI_Clean_20190420,br_clean,enterprise,br_ent_non_trading_ind,15,char
IDI_Clean_20190420,br_clean,enterprise,br_ent_business_type96_code,16,char
IDI_Clean_20190420,br_clean,enterprise,br_ent_inst_sector96_code,17,char
IDI_Clean_20190420,br_clean,enterprise,br_ent_geo_count_nbr,18,smallint
IDI_Clean_20190420,br_clean,enterprise,br_ent_live_geo_count_nbr,19,smallint
IDI_Clean_20190420,br_clean,enterprise,br_ent_parent_enterprise_nbr,20,char
IDI_Clean_20190420,br_clean,enterprise,br_ent_gte_enterprise_nbr,21,char
IDI_Clean_20190420,br_clean,enterprise,br_ent_data_change_ent_mask,22,int
IDI_Clean_20190420,br_clean,enterprise,br_ent_dss_update_time,23,datetime
IDI_Clean_20190420,br_clean,ird_enterprise_xref,br_xref_ird_uid,1,int
IDI_Clean_20190420,br_clean,ird_enterprise_xref,br_xref_dim_start_month_key,2,int
IDI_Clean_20190420,br_clean,ird_enterprise_xref,br_xref_dim_end_month_key,3,int
IDI_Clean_20190420,br_clean,ird_enterprise_xref,br_xref_enterprise_nbr,4,char
IDI_Clean_20190420,br_clean,ird_enterprise_xref,br_xref_source_code,5,char
IDI_Clean_20190420,br_clean,ird_enterprise_xref,br_xref_external_history_nbr,6,numeric
IDI_Clean_20190420,br_clean,ird_enterprise_xref,br_xref_dss_update_time,7,datetime
IDI_Clean_20190420,br_clean,pbn,br_pbn_pbn_nbr,1,char
IDI_Clean_20190420,br_clean,pbn,br_pbn_dim_start_month_key,2,int
IDI_Clean_20190420,br_clean,pbn,br_pbn_dim_end_month_key,3,int
IDI_Clean_20190420,br_clean,pbn,br_pbn_pbn_live_ind,4,char
IDI_Clean_20190420,br_clean,pbn,br_pbn_pbn_type_code,5,char
IDI_Clean_20190420,br_clean,pbn,br_pbn_pbn_anzsic96_code,6,char
IDI_Clean_20190420,br_clean,pbn,br_pbn_pbn_anzsic06_code,7,char
IDI_Clean_20190420,br_clean,pbn,br_pbn_snz_employer_ird_nbr,8,int
IDI_Clean_20190420,br_clean,pbn,br_pbn_geographic_nbr,9,char
IDI_Clean_20190420,br_clean,pbn,br_pbn_geo_life_cycle_code,10,char
IDI_Clean_20190420,br_clean,pbn,br_pbn_geo_employee_count_nbr,11,numeric
IDI_Clean_20190420,br_clean,pbn,br_pbn_geo_anzsic96_code,12,char
IDI_Clean_20190420,br_clean,pbn,br_pbn_geo_anzsic06_code,13,char
IDI_Clean_20190420,br_clean,pbn,br_pbn_geo_ta_code,14,char
IDI_Clean_20190420,br_clean,pbn,br_pbn_geo_reg_council_code,15,char
IDI_Clean_20190420,br_clean,pbn,br_pbn_geo_meshblock_code,16,char
IDI_Clean_20190420,br_clean,pbn,br_pbn_geo_meshblock_imp_code,17,char
IDI_Clean_20190420,br_clean,pbn,br_pbn_enterprise_nbr,18,varchar
IDI_Clean_20190420,br_clean,pbn,br_pbn_ent_life_cycle_code,19,char
IDI_Clean_20190420,br_clean,pbn,br_pbn_ent_anzsic96_code,20,char
IDI_Clean_20190420,br_clean,pbn,br_pbn_ent_anzsic06_code,21,char
IDI_Clean_20190420,br_clean,pbn,br_pbn_ent_business_type96_code,22,char
IDI_Clean_20190420,br_clean,pbn,br_pbn_ent_inst_sector96_code,23,char
IDI_Clean_20190420,br_clean,pbn,br_pbn_dss_update_time,24,datetime
IDI_Clean_20190420,br_clean,pbn_employee_count,br_empc_pbn_nbr,1,char
IDI_Clean_20190420,br_clean,pbn_employee_count,br_empc_dim_month_key,2,int
IDI_Clean_20190420,br_clean,pbn_employee_count,br_empc_geographic_nbr,3,char
IDI_Clean_20190420,br_clean,pbn_employee_count,br_empc_enterprise_nbr,4,char
IDI_Clean_20190420,br_clean,pbn_employee_count,br_empc_idi_employee_count_nbr,5,int
IDI_Clean_20190420,br_clean,pbn_employee_count,br_empc_br_employee_count_nbr,6,decimal
IDI_Clean_20190420,cap_clean,demographics,snz_uid,1,int
IDI_Clean_20190420,cap_clean,demographics,snz_msd_uid,2,int
IDI_Clean_20190420,cap_clean,demographics,snz_cyf_prsn_uid,3,int
IDI_Clean_20190420,cap_clean,demographics,snz_cap_family_uid,4,int
IDI_Clean_20190420,cap_clean,demographics,cap_dem_site_code,5,varchar
IDI_Clean_20190420,cap_clean,demographics,cap_dem_birth_month_nbr,6,tinyint
IDI_Clean_20190420,cap_clean,demographics,cap_dem_birth_year_nbr,7,smallint
IDI_Clean_20190420,cap_clean,demographics,cap_snz_sex_code,8,varchar
IDI_Clean_20190420,cap_clean,demographics,cap_dem_ethnicity_1_code,9,varchar
IDI_Clean_20190420,cap_clean,demographics,cap_dem_ethnicity_2_code,10,varchar
IDI_Clean_20190420,cap_clean,demographics,cap_dem_iwi1_code,11,varchar
IDI_Clean_20190420,cap_clean,demographics,cap_dem_iwi2_code,12,varchar
IDI_Clean_20190420,cap_clean,demographics,cap_dem_parent_count_nbr,13,int
IDI_Clean_20190420,cap_clean,demographics,cap_dem_income_source_code,14,varchar
IDI_Clean_20190420,cap_clean,demographics,cap_dem_home_arrangement_code,15,varchar
IDI_Clean_20190420,cap_clean,demographics,cap_dem_children_no_referral_nbr,16,int
IDI_Clean_20190420,cap_clean,demographics,cap_dem_child_disabilities_code,17,varchar
IDI_Clean_20190420,cap_clean,demographics,cap_dem_parent_disabilities_code,18,varchar
IDI_Clean_20190420,cap_clean,demographics,cap_dem_family_violence_code,19,varchar
IDI_Clean_20190420,cap_clean,demographics,cap_dem_drug_alcohol_code,20,varchar
