"snz_uid","snz_nzta_uid","nzta_snz_sex_code","nzta_dlr_birth_month_nbr","nzta_dlr_birth_year_nbr","nzta_dlr_licence_issue_date","nzta_dlr_organ_donor_ind","nzta_dlr_licence_type_text","nzta_dlr_licence_status_text","nzta_dlr_lic_class_grant_date","nzta_dlr_licence_start_date","nzta_dlr_licence_from_date","nzta_dlr_class_status_text","nzta_dlr_licence_class_text","nzta_dlr_licence_stage_text","nzta_dlr_class_from_date","nzta_dlr_endorsement_type_text","nzta_dlr_region_code"
375774,3672293,2,1,1938,1955-05-15,"1","PERMANENT","active",1968-10-05,1968-10-05,2020-04-28,"active","136","full",2018-09-23,NA,"3"
380131,3676650,1,6,1935,1955-03-20,"1","PERMANENT","active",NA,1963-10-01,2020-03-03,NA,"1",NA,NA,NA,"4"
402412,3698931,1,10,1921,1939-08-15,"1","PERMANENT","active",NA,1948-05-16,2019-07-26,NA,"1",NA,NA,NA,"2"
402957,3699476,1,9,1955,1974-06-14,"0","PERMANENT","active",NA,1979-01-06,2019-06-03,NA,"1",NA,NA,NA,"6"
405782,3702301,1,4,1951,1967-09-01,"0","PERMANENT","active",NA,1978-07-25,2017-08-19,NA,"16",NA,NA,NA,"2"
419818,3716337,2,11,1971,1991-07-19,"1","PERMANENT","active",NA,1995-11-26,2016-07-12,NA,"1",NA,NA,NA,"15"
428871,3725390,2,5,1944,1962-11-17,"1","PERMANENT","suspended",NA,1968-03-05,2017-11-03,NA,"1",NA,NA,NA,"3"
445607,3742126,1,1,1967,1984-09-27,"1","PERMANENT","active",NA,1994-10-09,2019-09-19,NA,"1",NA,NA,NA,"2"
467955,3764474,2,1,1921,1938-03-20,"1","PERMANENT","suspended",NA,1946-11-14,2018-02-28,NA,"",NA,NA,NA,"2"
493931,3790450,2,2,1921,1938-12-10,"1","PERMANENT","active",NA,1942-01-20,2018-11-20,NA,"1",NA,NA,NA,"2"
511772,3808291,2,9,1921,1942-02-05,"0","PERMANENT","active",NA,1948-11-09,2017-01-17,NA,"1",NA,NA,NA,"1"
513294,3809813,1,5,1933,1949-08-31,"1","PERMANENT","active",NA,1956-09-14,2019-08-14,NA,"16",NA,NA,NA,"9"
518903,3815422,2,6,1997,2015-05-03,"0","PERMANENT","active",NA,2019-09-03,2020-05-01,NA,"1",NA,NA,NA,"9"
523800,3820319,2,12,1941,1959-07-27,"1","PERMANENT","active",NA,1963-09-13,2019-07-12,NA,"1",NA,NA,NA,"2"
572082,3868601,1,9,1945,1961-10-31,"1","PERMANENT","active",NA,1966-01-29,2016-10-17,NA,"1",NA,NA,NA,"2"
591371,3887890,2,8,1973,1990-08-27,"0","PERMANENT","active",NA,1994-12-02,2020-08-19,NA,"1",NA,NA,NA,"2"
594661,3891180,1,8,1983,2001-11-13,"0","PERMANENT","active",NA,2005-02-01,2016-11-09,NA,"1",NA,NA,"F","2"
595968,3892487,1,11,1937,1956-08-30,"1","PERMANENT","active",NA,1959-09-08,2016-08-15,NA,"1",NA,NA,"P","14"
599944,3896463,2,11,1961,1977-12-23,"0","PERMANENT","active",NA,1984-07-03,2017-12-13,NA,"1",NA,NA,"I","3"
603299,3899818,1,7,1960,1977-08-05,"0","PERMANENT","active",NA,1982-01-24,2017-07-26,NA,"1",NA,NA,NA,"4"
611465,3907984,2,1,1958,1974-02-20,"1","PERMANENT","active",NA,1981-09-22,2019-02-09,NA,"1",NA,NA,NA,"4"
630579,3927098,2,1,1926,1944-12-13,"1","TEMPORARY","active",NA,1948-08-03,2019-11-25,NA,"1",NA,NA,NA,"6"
636630,3933149,2,5,1957,1973-08-16,"1","PERMANENT","active",NA,1983-10-17,2018-08-05,NA,"16",NA,NA,NA,"14"
643341,3939860,2,7,1924,1941-04-17,"0","PERMANENT","active",NA,1947-03-05,2016-03-29,NA,"1",NA,NA,NA,"4"
647932,3944451,1,8,1923,1939-09-10,"1","PERMANENT","active",NA,1944-10-16,2019-08-21,NA,"1",NA,NA,"D","4"
654118,3950637,2,8,1938,1954-10-30,"1","PERMANENT","active",NA,1958-10-19,2019-10-14,NA,"1",NA,NA,"O","2"
658747,3955266,2,1,1923,1939-06-06,"0","PERMANENT","suspended",NA,1947-01-19,2019-05-17,NA,"1",NA,NA,NA,"16"
659091,3955610,1,7,1935,1952-10-04,"1","PERMANENT","active",1959-10-03,1959-11-26,2017-09-18,"active","123","full",2019-09-18,NA,"2"
660141,3956660,2,4,1947,1966-12-28,"1","PERMANENT","active",NA,1972-02-29,2016-12-15,NA,"1",NA,NA,NA,"14"
661466,3957985,1,2,1954,1970-12-29,"0","PERMANENT","active",NA,1978-02-10,2020-12-16,NA,"1",NA,NA,NA,"8"
666329,3962848,2,2,1978,1995-03-29,"0","PERMANENT","active",NA,2001-07-19,2020-03-22,NA,"16",NA,NA,NA,"14"
666733,3963252,1,1,1930,1948-06-29,"1","PERMANENT","active",1954-03-23,1954-03-23,2018-06-12,"active","12","full",2019-03-07,NA,"16"
670069,3966588,2,2,1960,1976-07-31,"0","PERMANENT","active",NA,1980-01-08,2016-07-21,NA,"1",NA,NA,NA,"2"
679467,3975986,1,5,1958,1976-12-01,"1","PERMANENT","active",NA,1981-04-07,2016-11-21,NA,"1",NA,NA,NA,"2"
685995,3982514,3,5,1946,1963-09-26,"0","PERMANENT","active",NA,1970-03-10,2018-09-12,NA,"1",NA,NA,"P","3"
692884,3989403,2,10,1989,2006-02-02,"1","PERMANENT","suspended",NA,2016-04-23,2016-01-31,NA,"",NA,NA,NA,"8"
697980,3994499,2,2,1967,1984-04-06,"1","PERMANENT","active",NA,1987-05-16,2019-03-29,NA,"1",NA,NA,NA,"14"
705567,4002086,1,6,1979,1999-03-31,"1","PERMANENT","active",NA,2003-12-18,2019-03-26,NA,"1",NA,NA,NA,"14"
707702,4004221,2,5,1949,1967-02-03,"0","PERMANENT","active",1972-09-26,1972-09-26,2017-01-21,"active","12","full",2017-09-15,NA,"14"
709332,4005851,2,7,1929,1948-01-10,"1","PERMANENT","active",NA,1952-06-05,2017-12-23,NA,"1",NA,NA,NA,"5"
724075,4020594,2,7,1921,1937-10-24,"0","PERMANENT","active",NA,1945-12-03,2017-10-04,NA,"1",NA,NA,NA,"2"
757475,4053994,1,4,1982,2001-12-02,"0","PERMANENT","active",NA,2011-02-24,2016-11-28,NA,"1",NA,NA,NA,"15"
759174,4055693,2,2,1933,1950-06-16,"0","PERMANENT","active",NA,1955-10-11,2020-05-29,NA,"1",NA,NA,NA,"6"
761932,4058451,1,12,1939,1957-08-09,"1","PERMANENT","active",NA,1959-01-03,2017-07-25,NA,"1",NA,NA,"P","2"
780420,4076939,1,10,1936,1953-10-31,"0","TEMPORARY","active",NA,1963-09-11,2018-10-15,NA,"1",NA,NA,NA,"4"
782404,4078923,1,3,1967,1983-03-25,"0","PERMANENT","active",NA,1992-10-25,2018-03-16,NA,"1",NA,NA,"P","2"
791987,4088506,1,3,1962,1980-05-14,"1","PERMANENT","active",NA,1980-05-14,2020-05-04,NA,"1",NA,NA,NA,"2"
822064,4118583,1,8,1945,1962-03-19,"1","PERMANENT","active",NA,1964-09-16,2017-03-05,NA,"1",NA,NA,NA,"3"
825451,4121970,2,4,1960,1978-10-21,"1","PERMANENT","active",NA,1986-05-20,2018-10-11,NA,"1",NA,NA,"R","7"
848556,4145075,1,10,1925,1945-02-04,"1","PERMANENT","active",NA,1954-02-17,2020-01-17,NA,"1",NA,NA,NA,"6"
850189,4146708,2,5,1960,1980-09-19,"1","PERMANENT","active",NA,1987-10-20,2020-09-09,NA,"1",NA,NA,"P","3"
858573,4155092,1,3,1946,1963-08-18,"1","PERMANENT","active",NA,1971-12-12,2018-08-04,NA,"1",NA,NA,NA,"14"
877075,4173594,2,5,1980,1997-11-14,"1","DIPLOMATIC","active",NA,2003-10-02,2017-11-09,NA,"1",NA,NA,NA,"1"
902384,4198903,2,8,1930,1948-12-07,"0","PERMANENT","active",NA,1948-12-07,2018-11-20,NA,"1",NA,NA,NA,"8"
902655,4199174,2,11,1943,1961-10-05,"1","TEMPORARY","active",NA,1967-07-04,2016-09-21,NA,"16",NA,NA,"P","6"
914891,4211410,1,10,1966,1985-03-07,"1","PERMANENT","active",NA,1990-02-07,2020-02-27,NA,"1",NA,NA,"D","2"
919476,4215995,2,11,1976,1993-04-17,"0","PERMANENT","active",NA,2000-04-06,2018-04-11,NA,"1",NA,NA,"D","7"
921405,4217924,2,1,1923,1939-12-13,"1","PERMANENT","active",NA,1945-05-27,2019-11-23,NA,"1",NA,NA,NA,"9"
934797,4231316,1,12,1942,1960-09-29,"0","PERMANENT","active",NA,1967-04-19,2020-09-14,NA,"1",NA,NA,NA,"3"
935493,4232012,1,10,1994,2013-06-23,"0","PERMANENT","active",NA,2019-01-27,2018-06-22,NA,"1",NA,NA,NA,"7"
948918,4245437,1,7,1965,1984-08-17,"1","PERMANENT","active",NA,1987-01-05,2019-08-09,NA,"1",NA,NA,NA,"1"
950092,4246611,2,3,1962,1979-06-09,"0","PERMANENT","active",1986-11-25,1986-11-25,2019-05-30,"active","12","full",2016-11-17,NA,"2"
971540,4268059,1,10,1951,1968-12-03,"0","PERMANENT","suspended",NA,1972-02-25,2018-11-21,NA,"1",NA,NA,"P","2"
974589,4271108,1,12,1921,1938-06-19,"0","PERMANENT","active",NA,1940-11-30,2018-05-30,NA,"1",NA,NA,"F","8"
990423,4286942,1,1,1924,1940-02-10,"0","PERMANENT","suspended",NA,1966-11-20,2020-01-21,NA,"",NA,NA,NA,"14"
991201,4287720,3,4,1989,2005-10-07,"0","PERMANENT","active",NA,2009-02-28,2020-10-03,NA,"1",NA,NA,NA,"9"
1032146,4328665,2,3,1956,1973-04-28,"0","PERMANENT","active",NA,1976-11-08,2018-04-17,NA,"1",NA,NA,NA,"9"
1036767,4333286,2,3,1963,1979-12-03,"0","PERMANENT","active",1990-07-09,1993-09-16,2019-11-23,"active","12345","full",2020-07-01,NA,"16"
1040827,4337346,1,7,1920,1940-05-29,"1","PERMANENT","active",NA,1945-12-02,2020-05-09,NA,"1",NA,NA,NA,"4"
1050173,4346692,1,11,1939,1957-01-31,"1","PERMANENT","active",1962-07-12,1962-10-08,2017-01-16,"active","123","full",2017-06-28,NA,"3"
1053067,4349586,1,11,1951,1969-01-24,"1","PERMANENT","active",NA,1976-01-08,2019-01-12,NA,"1",NA,NA,NA,"8"
1059834,4356353,2,10,1936,1953-02-20,"1","PERMANENT","active",NA,1959-08-10,2018-02-04,NA,"1",NA,NA,NA,"7"
1068035,4364554,1,8,1961,1978-01-01,"1","PERMANENT","active",NA,1983-07-10,2017-12-22,NA,"1",NA,NA,"O","8"
1071015,4367534,1,4,1990,2006-09-18,"0","PERMANENT","active",NA,2014-03-14,2016-09-15,NA,"1",NA,NA,NA,"4"
1090284,4386803,2,5,1970,1989-03-15,"0","PERMANENT","active",NA,1996-03-19,2019-03-08,NA,"1",NA,NA,NA,"15"
1092647,4389166,1,12,1934,1953-02-19,"1","PERMANENT","active",NA,1956-03-06,2018-02-03,NA,"1",NA,NA,NA,"2"
1101226,4397745,2,3,1938,1955-07-30,"1","PERMANENT","active",NA,1963-01-07,2020-07-13,NA,"1",NA,NA,NA,"2"
1119183,4415702,1,8,1983,1999-12-12,"0","PERMANENT","active",NA,2006-03-28,2019-12-07,NA,"16",NA,NA,"O","2"
1123757,4420276,1,2,1933,1951-09-11,"1","PERMANENT","active",NA,1955-08-01,2016-08-25,NA,"1",NA,NA,NA,"9"
1148775,4445294,1,11,1969,1986-01-26,"1","PERMANENT","active",NA,1990-08-15,2016-01-19,NA,"1",NA,NA,"P","3"
1155142,4451661,2,9,1929,1947-02-09,"1","PERMANENT","active",NA,1952-11-23,2017-01-22,NA,"16",NA,NA,NA,"3"
1175547,4472066,3,8,1948,1964-11-26,"1","PERMANENT","active",NA,1968-09-06,2019-11-13,NA,"1",NA,NA,NA,"16"
1186120,4482639,2,4,1942,1960-03-21,"1","PERMANENT","active",NA,1968-09-02,2020-03-06,NA,"16",NA,NA,NA,"1"
1187627,4484146,1,12,1921,1939-06-28,"0","PERMANENT","active",NA,1944-12-20,2019-06-08,NA,"1",NA,NA,NA,"8"
1201303,4497822,2,10,1920,1937-06-16,"0","PERMANENT","active",1950-12-25,1952-09-05,2017-05-27,"active","134","full",2020-12-07,NA,"9"
1216770,4513289,2,4,1947,1964-01-17,"0","PERMANENT","active",NA,1969-12-15,2019-01-03,NA,"1",NA,NA,"O","2"
1219589,4516108,1,7,1945,1963-01-15,"1","PERMANENT","active",NA,1971-07-26,2018-01-01,NA,"1",NA,NA,NA,"15"
1222589,4519108,2,3,1958,1974-04-13,"1","PERMANENT","active",NA,1977-12-14,2019-04-02,NA,"1",NA,NA,NA,"3"
1224096,4520615,1,11,1947,1964-11-13,"0","PERMANENT","active",NA,1970-02-24,2019-10-31,NA,"1",NA,NA,NA,"4"
1231700,4528219,1,4,1936,1954-09-22,"1","PERMANENT","active",NA,1963-05-18,2019-09-06,NA,"1",NA,NA,NA,"14"
1253036,4549555,1,8,1945,1963-01-01,"1","PERMANENT","active",NA,1965-12-25,2017-12-18,NA,"1",NA,NA,NA,"14"
1268067,4564586,2,5,1931,1948-11-12,"1","PERMANENT","active",1955-01-01,1962-12-09,2018-10-26,"active","1234","full",2019-12-16,NA,"2"
1271058,4567577,1,9,1947,1966-06-16,"1","PERMANENT","active",NA,1978-03-28,2016-06-03,NA,"1",NA,NA,NA,"9"
1274870,4571389,1,4,1961,1977-11-21,"1","PERMANENT","active",NA,1981-10-08,2017-11-11,NA,"1",NA,NA,NA,"3"
1283690,4580209,1,9,1922,1938-09-18,"0","PERMANENT","active",1952-07-24,1954-06-09,2018-08-29,"active","134","full",2017-07-08,NA,"2"
1289679,4586198,1,2,1973,1989-06-04,"0","PERMANENT","active",NA,1994-10-14,2019-05-28,NA,"1",NA,NA,NA,"15"
1301044,4597563,1,4,1966,1982-12-09,"0","PERMANENT","active",NA,1989-08-22,2017-11-30,NA,"1",NA,NA,NA,"14"
1307431,4603950,2,11,1946,1963-05-01,"1","PERMANENT","active",NA,1970-07-23,2018-04-17,NA,"16",NA,NA,"V","9"
1342170,4638689,1,5,1954,1974-08-01,"1","PERMANENT","active",NA,1979-06-21,2019-07-21,NA,"1",NA,NA,NA,"6"
1343304,4639823,1,7,1921,1941-09-10,"1","PERMANENT","active",NA,1947-09-22,2016-08-22,NA,"1",NA,NA,NA,"14"
1343636,4640155,2,5,1942,1962-03-18,"1","PERMANENT","active",NA,1967-08-12,2017-03-04,NA,"1",NA,NA,"P","1"
1366556,4663075,2,5,1958,1975-12-19,"0","PERMANENT","active",NA,1982-07-24,2020-12-07,NA,"1",NA,NA,"P","2"
1367348,4663867,2,2,1987,2004-04-25,"1","PERMANENT","active",NA,2010-02-02,2019-04-22,NA,"16",NA,NA,NA,"6"
1375872,4672391,1,6,1955,1974-07-14,"0","PERMANENT","active",1981-01-01,1985-11-11,2019-07-03,"active","134","full",2015-12-24,NA,"15"
1396658,4693177,1,12,1958,1975-04-24,"1","DIPLOMATIC","active",NA,1978-08-29,2020-04-12,NA,"1",NA,NA,NA,"2"
1403156,4699675,1,10,1944,1963-05-22,"1","PERMANENT","active",NA,1966-01-17,2018-05-08,NA,"1",NA,NA,NA,"3"
1408472,4704991,1,10,1931,1948-09-22,"1","PERMANENT","active",1955-08-11,1957-12-10,2018-09-05,"active","123","full",2020-07-25,NA,"2"
1408989,4705508,2,3,1956,1974-01-23,"0","PERMANENT","active",NA,1984-01-20,2019-01-12,NA,"1",NA,NA,NA,"2"
1420592,4717111,2,1,1932,1948-03-07,"0","PERMANENT","active",NA,1960-09-05,2018-02-18,NA,"16",NA,NA,NA,"6"
1429697,4726216,2,10,1959,1976-03-23,"1","PERMANENT","suspended",NA,1997-01-27,2016-03-13,NA,"6",NA,NA,NA,"6"
1438908,4735427,2,7,1930,1949-10-25,"1","PERMANENT","active",NA,1957-03-22,2019-10-08,NA,"1",NA,NA,"V","2"
1450205,4746724,1,9,1990,2008-08-08,"1","PERMANENT","active",NA,2014-05-30,2018-08-06,NA,"1",NA,NA,NA,"2"
1452488,4749007,1,2,1989,2009-06-02,"1","PERMANENT","active",NA,2014-10-21,2019-05-31,NA,"1",NA,NA,"P","9"
1453626,4750145,1,3,1943,1960-04-01,"0","PERMANENT","active",NA,1960-04-01,2020-03-17,NA,"1",NA,NA,"T","2"
1460438,4756957,1,1,1937,1954-06-01,"1","PERMANENT","active",NA,1962-01-18,2019-05-16,NA,"1",NA,NA,NA,"3"
1462207,4758726,2,7,1933,1949-10-10,"1","PERMANENT","suspended",NA,1966-10-09,2019-09-23,NA,"1",NA,NA,NA,"2"
1462589,4759108,2,12,1933,1950-05-26,"1","PERMANENT","active",NA,1955-08-07,2020-05-08,NA,"16",NA,NA,NA,"8"
1471356,4767875,1,3,1950,1966-11-16,"1","PERMANENT","active",NA,1972-12-21,2016-11-03,NA,"1",NA,NA,NA,"3"
1482050,4778569,1,11,1940,1959-12-19,"0","PERMANENT","active",NA,1968-09-30,2019-12-04,NA,"1",NA,NA,NA,"2"
1494709,4791228,1,5,2000,2017-08-13,"1","PERMANENT","active",NA,2017-08-13,2017-08-13,NA,"1",NA,NA,NA,"14"
1495409,4791928,2,1,1978,1994-10-15,"0","PERMANENT","active",NA,2004-03-07,2019-10-09,NA,"16",NA,NA,NA,"6"
1498110,4794629,2,4,1922,1938-07-24,"0","PERMANENT","active",NA,1940-05-19,2018-07-04,NA,"1",NA,NA,"P","2"
1528506,4825025,2,11,1943,1960-06-18,"0","PERMANENT","active",NA,1960-06-18,2020-06-03,NA,"1",NA,NA,NA,"2"
1531327,4827846,1,4,1939,1955-12-16,"1","PERMANENT","active",NA,1964-07-19,2020-11-29,NA,"1",NA,NA,NA,"14"
1533761,4830280,2,11,1928,1945-12-17,"0","PERMANENT","active",NA,1955-02-26,2020-11-28,NA,"16",NA,NA,"P","18"
1534763,4831282,2,9,1963,1984-02-23,"1","PERMANENT","active",NA,1991-04-25,2019-02-14,NA,"1",NA,NA,NA,"8"
1539092,4835611,1,11,1975,1993-05-28,"0","PERMANENT","active",NA,1999-01-15,2018-05-22,NA,"16",NA,NA,NA,"2"
1540937,4837456,1,12,1959,1976-11-11,"0","PERMANENT","active",NA,1976-11-11,2016-11-01,NA,"1",NA,NA,NA,"14"
1543779,4840298,1,5,1961,1981-05-15,"1","PERMANENT","active",NA,1986-12-02,2016-05-06,NA,"1",NA,NA,NA,"2"
1545479,4841998,1,6,1928,1945-08-10,"1","PERMANENT","active",NA,1950-11-16,2020-07-22,NA,"16",NA,NA,NA,"9"
1556355,4852874,2,10,1974,1992-04-02,"1","PERMANENT","active",NA,1994-07-19,2017-03-27,NA,"1",NA,NA,NA,"6"
1557608,4854127,2,5,1928,1944-12-12,"1","PERMANENT","active",NA,1947-07-31,2019-11-24,NA,"1",NA,NA,NA,"2"
1563321,4859840,1,12,1935,1952-03-20,"1","PERMANENT","active",NA,1961-06-11,2017-03-04,NA,"16",NA,NA,NA,"3"
1564575,4861094,2,3,1920,1938-06-09,"0","PERMANENT","active",NA,1944-10-31,2018-05-20,NA,"1",NA,NA,NA,"9"
1591634,4888153,1,7,1927,1943-08-21,"1","PERMANENT","active",NA,1950-03-26,2018-08-02,NA,"16",NA,NA,"D","9"
1594049,4890568,2,5,1989,2007-05-13,"0","PERMANENT","active",NA,2015-02-02,2017-05-10,NA,"1",NA,NA,NA,"7"
1599678,4896197,1,11,1949,1967-04-18,"1","PERMANENT","suspended",NA,1978-11-09,2017-04-05,NA,"1",NA,NA,NA,"2"
1610989,4907508,2,7,1922,1941-04-24,"0","TEMPORARY","suspended",NA,1947-02-25,2016-04-05,NA,"",NA,NA,NA,"3"
1612858,4909377,2,1,1921,1937-04-05,"0","PERMANENT","active",NA,1941-03-15,2017-03-16,NA,"1",NA,NA,NA,"1"
1619431,4915950,2,11,1935,1951-11-18,"1","PERMANENT","active",NA,1956-02-28,2016-11-01,NA,"1",NA,NA,NA,"9"
1639038,4935557,2,1,1942,1960-07-04,"0","PERMANENT","active",NA,1966-04-14,2020-06-19,NA,"1",NA,NA,NA,"9"
1656492,4953011,1,5,1947,1965-03-03,"0","PERMANENT","active",NA,1969-05-15,2020-02-18,NA,"1",NA,NA,NA,"14"
1656920,4953439,1,11,1924,1941-03-01,"0","PERMANENT","suspended",NA,1944-03-06,2016-02-11,NA,"",NA,NA,NA,"9"
1661262,4957781,2,7,1935,1952-12-18,"1","PERMANENT","active",1959-08-07,1959-08-07,2017-12-02,"active","13","full",2019-07-23,NA,"13"
1661424,4957943,1,9,1963,1979-12-30,"0","PERMANENT","suspended",NA,2002-07-27,2019-12-20,NA,"1",NA,NA,NA,"7"
1670663,4967182,1,11,1944,1963-06-02,"1","PERMANENT","active",NA,1970-01-09,2018-05-19,NA,"1",NA,NA,NA,"14"
1672337,4968856,2,7,1988,2004-09-24,"1","PERMANENT","active",NA,2007-03-28,2019-09-21,NA,"1",NA,NA,NA,"9"
1677615,4974134,2,12,1925,1942-10-29,"0","PERMANENT","active",NA,1947-04-05,2017-10-10,NA,"1",NA,NA,"P","2"
1679951,4976470,2,3,1925,1942-02-09,"1","PERMANENT","active",NA,1949-03-09,2017-01-21,NA,"16",NA,NA,NA,"2"
1685960,4982479,2,7,1920,1937-05-09,"1","PERMANENT","active",NA,1944-07-03,2017-04-19,NA,"1",NA,NA,"F","18"
1706796,5003315,2,4,1997,2014-05-19,"1","PERMANENT","active",NA,2018-07-28,2019-05-18,NA,"1",NA,NA,NA,"2"
1712294,5008813,2,8,1954,1972-08-04,"1","PERMANENT","active",NA,1980-06-09,2017-07-24,NA,"16",NA,NA,"P","5"
1718338,5014857,2,6,1938,1958-01-02,"0","PERMANENT","active",NA,1965-05-22,2017-12-18,NA,"1",NA,NA,NA,"2"
1734127,5030646,1,5,1937,1954-08-14,"1","PERMANENT","active",1962-05-30,1965-04-09,2019-07-29,"active","1236","full",2017-05-16,"W","1"
1745135,5041654,2,2,1943,1962-08-22,"1","PERMANENT","active",NA,1969-11-30,2017-08-08,NA,"1",NA,NA,NA,"15"
1785917,5082436,1,8,1922,1939-09-22,"0","PERMANENT","active",NA,1946-02-01,2019-09-02,NA,"16",NA,NA,NA,"2"
1807250,5103769,2,8,1960,1978-02-02,"0","PERMANENT","active",NA,1983-04-27,2018-01-23,NA,"1",NA,NA,"I","3"
1810613,5107132,2,3,1955,1974-03-13,"0","PERMANENT","suspended",NA,1980-08-31,2019-03-02,NA,"",NA,NA,NA,"2"
1812890,5109409,1,1,1966,1982-01-21,"1","PERMANENT","active",NA,1995-04-29,2017-01-12,NA,"16",NA,NA,NA,"14"
1854014,5150533,2,7,1969,1987-08-07,"1","PERMANENT","active",NA,1992-04-12,2017-07-30,NA,"1",NA,NA,NA,"14"
1883541,5180060,2,7,1932,1950-08-12,"0","PERMANENT","active",NA,1957-02-15,2020-07-25,NA,"1",NA,NA,"I","14"
1886503,5183022,2,7,1944,1961-01-19,"0","PERMANENT","active",NA,1968-04-21,2016-01-06,NA,"1",NA,NA,NA,"2"
1897240,5193759,1,9,1942,1959-01-17,"0","PERMANENT","active",NA,1966-07-02,2019-01-02,NA,"16",NA,NA,NA,"2"
1911045,5207564,1,8,1941,1960-03-17,"1","PERMANENT","active",NA,1968-11-09,2020-03-02,NA,"1",NA,NA,NA,"14"
1919228,5215747,1,1,1926,1944-08-10,"1","PERMANENT","active",NA,1951-12-08,2019-07-23,NA,"16",NA,NA,NA,"2"
