"snz_uid","srp_ref_date","srp_flag_ir_ind","srp_flag_ed_ind","srp_flag_health_ind","srp_flag_acc_ind","srp_flag_under5_ind"
2688686,2000-06-30,1,0,0,1,0
6259797,2000-06-30,1,0,1,1,0
2567858,2000-06-30,0,0,0,0,0
5944468,2000-06-30,1,0,0,0,0
5832575,2000-06-30,1,0,1,1,0
5036044,2000-06-30,1,0,1,0,0
4901660,2000-06-30,1,0,1,0,0
4999370,2000-06-30,1,0,0,0,0
8657962,2000-06-30,0,0,0,0,0
611465,2000-06-30,1,0,0,0,0
3504056,2000-06-30,0,0,0,0,0
9611223,2000-06-30,0,0,1,1,0
2481827,2000-06-30,1,0,0,1,0
2350363,2000-06-30,0,0,0,0,0
3219623,2000-06-30,1,1,1,0,0
3012095,2000-06-30,1,0,0,0,0
4759394,2000-06-30,0,1,1,0,0
5329851,2000-06-30,0,0,0,0,0
4715178,2000-06-30,1,0,1,0,0
4766531,2000-06-30,1,0,0,0,0
7398831,2000-06-30,0,0,0,0,0
6394541,2000-06-30,0,1,0,0,0
9564635,2000-06-30,1,0,0,1,0
221450,2000-06-30,0,0,0,0,0
2992316,2000-06-30,1,1,1,0,0
5797748,2000-06-30,0,1,0,0,0
1420592,2000-06-30,1,0,1,1,0
7984329,2000-06-30,1,0,0,0,0
9633103,2000-06-30,1,0,0,0,0
2129662,2000-06-30,0,0,0,0,0
4073054,2000-06-30,1,1,0,0,1
9956043,2000-06-30,1,0,1,0,0
6019211,2000-06-30,1,1,1,0,0
9512110,2000-06-30,1,0,0,0,0
9262309,2000-06-30,0,1,0,1,0
3943981,2000-06-30,0,1,0,1,0
8058584,2000-06-30,1,1,0,0,0
3745836,2000-06-30,0,0,0,0,0
6948953,2000-06-30,0,0,1,1,0
9290575,2000-06-30,1,1,0,0,0
2238678,2000-06-30,1,0,1,0,0
6456042,2000-06-30,0,0,0,0,0
6864752,2000-06-30,1,0,0,1,0
6480336,2000-06-30,0,0,1,0,0
935493,2000-06-30,1,1,0,0,0
4819759,2000-06-30,1,0,1,0,0
8908412,2000-06-30,1,1,1,0,0
9764020,2000-06-30,0,1,0,0,0
4227130,2000-06-30,0,0,1,0,0
4057261,2000-06-30,1,0,1,0,0
9867634,2000-06-30,0,0,1,0,0
314414,2000-06-30,1,0,1,0,0
4005543,2000-06-30,0,1,1,0,0
5434451,2000-06-30,1,1,0,0,0
9074314,2000-06-30,1,0,0,1,0
1854014,2000-06-30,0,1,0,1,0
7789918,2000-06-30,0,1,0,1,0
5994404,2000-06-30,1,0,1,0,0
91921,2000-06-30,0,0,1,0,1
2155706,2000-06-30,0,0,0,0,0
2383642,2000-06-30,0,1,1,1,0
4089888,2000-06-30,0,0,0,0,0
902384,2000-06-30,1,1,1,0,0
5895472,2000-06-30,1,0,0,1,0
5091883,2000-06-30,1,0,0,0,0
8866034,2000-06-30,1,0,0,0,0
5282175,2000-06-30,1,1,0,0,0
679467,2000-06-30,0,1,1,0,0
2175174,2000-06-30,1,0,1,0,0
5248066,2000-06-30,0,1,0,0,0
7735283,2000-06-30,1,0,1,0,0
2314177,2000-06-30,1,1,0,0,0
1812890,2000-06-30,1,1,0,0,0
4478197,2000-06-30,0,0,1,1,0
4912064,2000-06-30,1,0,0,0,0
74928,2000-06-30,1,0,0,0,0
3803360,2000-06-30,0,0,1,0,0
5461174,2000-06-30,1,1,1,0,0
1992377,2000-06-30,1,1,1,0,0
5553343,2000-06-30,0,1,0,0,0
8974718,2000-06-30,1,0,0,0,0
1071015,2000-06-30,1,1,1,0,0
1092647,2000-06-30,0,0,0,0,0
9170136,2000-06-30,1,1,1,0,0
140184,2000-06-30,1,1,0,0,0
8611197,2000-06-30,0,1,1,0,0
9339708,2000-06-30,1,1,1,1,0
8312424,2000-06-30,0,0,1,0,0
6398983,2000-06-30,0,1,1,0,0
3977334,2000-06-30,1,1,0,1,0
2328109,2000-06-30,0,0,1,0,0
2726825,2000-06-30,0,1,1,0,0
5544065,2000-06-30,1,0,1,1,0
5466041,2000-06-30,0,1,0,1,0
149840,2000-06-30,1,1,1,0,0
2051650,2000-06-30,1,0,0,1,0
6715448,2000-06-30,0,0,1,0,0
1123757,2000-06-30,1,0,1,0,0
1053067,2000-06-30,1,0,0,0,0
3180980,2000-06-30,0,0,1,1,1
761932,2000-06-30,1,0,0,0,0
1712294,2000-06-30,1,0,0,0,0
7629626,2000-06-30,0,0,1,0,0
6454472,2000-06-30,1,0,0,0,0
402957,2001-06-30,0,1,0,0,0
4933282,2001-06-30,1,1,1,0,0
6344796,2001-06-30,1,0,1,0,0
4462681,2001-06-30,1,1,1,0,0
8291158,2001-06-30,1,0,0,0,0
7294337,2001-06-30,0,0,0,0,0
9895001,2001-06-30,1,0,0,1,0
5550344,2001-06-30,0,0,1,0,0
8905878,2001-06-30,1,0,0,1,0
6408621,2001-06-30,1,1,0,0,0
3478534,2001-06-30,1,0,1,0,0
5128059,2001-06-30,0,0,0,0,0
7365690,2001-06-30,1,0,1,0,0
9853693,2001-06-30,0,1,1,0,0
5391420,2001-06-30,1,1,1,0,0
2522009,2001-06-30,1,0,1,0,0
1963713,2001-06-30,1,0,0,0,0
3492398,2001-06-30,1,0,1,0,0
5008913,2001-06-30,0,0,1,0,0
2160779,2001-06-30,1,0,0,0,0
419818,2001-06-30,1,0,0,0,0
3511290,2001-06-30,0,0,0,0,0
1661262,2001-06-30,0,1,0,0,0
3351421,2001-06-30,0,0,0,0,0
5950692,2001-06-30,1,1,1,0,0
5274496,2001-06-30,0,0,1,0,0
9456675,2001-06-30,0,0,1,1,0
9636102,2001-06-30,1,0,1,0,0
3472587,2001-06-30,0,1,1,0,0
5191238,2001-06-30,1,0,1,0,0
2313278,2001-06-30,1,0,1,0,0
2532688,2001-06-30,1,0,1,1,0
2138294,2001-06-30,0,0,1,1,0
9135045,2001-06-30,1,1,1,0,0
1367348,2001-06-30,1,0,1,0,0
7678374,2001-06-30,0,0,1,0,0
7509468,2001-06-30,0,1,0,0,0
4325013,2001-06-30,0,0,0,0,0
8328413,2001-06-30,1,0,0,0,0
9317878,2001-06-30,1,0,0,0,0
3106222,2001-06-30,1,1,1,0,0
7057515,2001-06-30,1,0,1,0,0
1883541,2001-06-30,1,0,1,1,0
4576429,2001-06-30,1,0,1,0,0
661466,2001-06-30,0,1,0,0,0
8717447,2001-06-30,1,0,0,0,0
1619431,2001-06-30,1,0,1,0,0
8243337,2001-06-30,0,0,1,1,0
3806100,2001-06-30,0,0,0,0,0
8792224,2001-06-30,1,1,1,0,0
5063420,2001-06-30,1,0,0,0,0
8029625,2001-06-30,1,0,0,0,0
4360074,2001-06-30,0,0,1,0,0
6632588,2001-06-30,1,0,1,0,0
5073391,2001-06-30,1,1,0,0,0
1246513,2001-06-30,1,1,1,0,0
1599678,2001-06-30,1,1,0,0,0
4651100,2001-06-30,1,1,1,1,0
5263379,2001-06-30,0,0,1,0,0
8326680,2001-06-30,0,0,1,0,0
902655,2001-06-30,1,1,1,0,0
8763628,2001-06-30,1,0,0,0,0
2992291,2001-06-30,1,0,1,0,0
3990522,2001-06-30,1,0,1,0,0
1148775,2001-06-30,1,1,0,0,0
6895986,2001-06-30,1,0,1,0,0
3446216,2001-06-30,1,1,0,0,0
603299,2001-06-30,1,0,1,0,0
4692239,2001-06-30,0,1,1,0,0
4585169,2001-06-30,1,0,0,1,0
3805202,2001-06-30,0,0,1,1,0
1471356,2001-06-30,0,1,1,0,0
3651221,2001-06-30,0,1,1,0,0
8102126,2001-06-30,1,0,0,0,0
4859807,2001-06-30,0,0,0,0,0
5519789,2001-06-30,1,0,0,0,0
6382749,2001-06-30,0,0,0,0,0
825451,2001-06-30,1,0,0,0,0
121566,2001-06-30,1,0,0,0,0
1068035,2001-06-30,1,0,0,0,0
5003179,2001-06-30,0,1,1,0,0
1119183,2001-06-30,0,0,1,0,0
2705192,2001-06-30,0,0,1,0,0
4140208,2001-06-30,0,1,1,0,0
7285864,2001-06-30,0,0,0,0,0
6505982,2001-06-30,0,1,0,0,0
8790405,2001-06-30,1,1,1,0,0
572082,2001-06-30,0,0,1,0,0
9486058,2001-06-30,1,0,0,1,0
8508398,2001-06-30,1,1,0,1,0
7147327,2001-06-30,0,1,0,0,0
6066658,2001-06-30,0,0,1,0,0
2529731,2001-06-30,0,1,0,0,0
518903,2001-06-30,1,0,1,0,1
5596693,2001-06-30,0,1,1,0,0
3394109,2001-06-30,1,1,0,0,0
9968767,2001-06-30,0,0,0,0,0
822064,2001-06-30,0,1,1,0,0
3657904,2001-06-30,0,0,0,0,0
5616781,2001-06-30,1,0,1,0,0
6508556,2001-06-30,0,1,1,0,0
2377699,2001-06-30,0,1,0,0,0
1706796,2001-06-30,0,0,1,0,1
9014911,2001-06-30,0,1,0,0,0
4332004,2001-06-30,0,1,1,0,0
4983057,2001-06-30,1,0,1,0,0
2335899,2001-06-30,1,1,1,0,0
3691110,2001-06-30,1,0,0,0,0
1032146,2001-06-30,0,0,0,0,0
6255938,2001-06-30,1,0,1,0,1
5151062,2001-06-30,1,0,1,1,0
6226337,2001-06-30,1,1,1,1,0
9796130,2001-06-30,0,0,1,1,0
5820658,2001-06-30,0,0,0,1,0
4485160,2001-06-30,1,1,1,0,0
2044051,2001-06-30,1,0,0,0,0
3583490,2001-06-30,1,0,0,0,0
8151291,2001-06-30,0,1,1,0,0
8307324,2001-06-30,1,0,0,0,0
890113,2001-06-30,1,1,0,0,0
7139105,2001-06-30,1,0,1,0,0
877075,2001-06-30,1,1,1,0,0
5186463,2001-06-30,1,1,0,1,0
4067629,2001-06-30,1,1,0,0,0
5439556,2001-06-30,1,0,1,0,0
2976700,2001-06-30,1,1,1,1,0
513294,2001-06-30,1,0,1,0,0
7734103,2001-06-30,1,0,0,0,0
6451303,2001-06-30,1,1,0,1,0
2898283,2001-06-30,0,0,1,0,0
9438170,2001-06-30,0,0,0,0,0
3174187,2001-06-30,0,1,1,0,0
6074944,2001-06-30,1,0,1,0,0
3393130,2001-06-30,0,0,0,0,0
2312035,2001-06-30,1,1,0,0,0
9790895,2001-06-30,0,1,1,0,0
4598562,2001-06-30,0,0,1,1,0
9591861,2001-06-30,0,0,0,0,0
9793397,2001-06-30,1,0,1,0,0
3349282,2001-06-30,0,1,1,1,0
1271058,2001-06-30,0,0,1,0,0
9242240,2001-06-30,1,0,1,1,0
6550009,2001-06-30,0,0,0,1,0
1886503,2001-06-30,1,1,0,0,0
8931766,2001-06-30,1,0,1,0,0
1591634,2001-06-30,0,1,0,0,0
4950625,2001-06-30,1,1,1,0,0
5707190,2001-06-30,1,0,0,0,0
6858618,2001-06-30,0,0,1,0,0
8984107,2001-06-30,1,0,1,0,0
8409277,2001-06-30,0,1,1,0,0
782404,2001-06-30,0,1,1,1,0
7721796,2001-06-30,1,1,1,0,0
9629683,2001-06-30,1,0,0,1,0
6258515,2001-06-30,1,1,0,0,0
3276379,2001-06-30,1,1,0,0,0
6119082,2001-06-30,1,0,0,0,0
4915602,2001-06-30,1,1,1,0,0
4907540,2001-06-30,1,0,0,0,0
341416,2001-06-30,1,1,0,0,0
7814273,2001-06-30,0,0,0,1,0
5985848,2001-06-30,1,1,1,0,1
2732407,2001-06-30,1,0,0,0,1
212797,2001-06-30,0,0,1,0,0
9502218,2001-06-30,1,0,0,0,0
4775828,2001-06-30,1,0,0,0,0
6070605,2001-06-30,1,1,1,0,0
2479745,2001-06-30,1,0,1,0,0
4676724,2001-06-30,0,1,0,0,0
8839462,2001-06-30,1,0,0,0,0
6386664,2001-06-30,0,0,1,0,0
3179541,2001-06-30,1,0,1,1,0
2727468,2001-06-30,0,1,0,0,0
6828736,2001-06-30,1,1,0,0,0
8994964,2001-06-30,1,0,0,0,0
9812751,2001-06-30,0,1,1,0,0
670069,2001-06-30,1,0,1,1,0
7324564,2001-06-30,1,1,0,0,0
7154189,2001-06-30,1,0,1,0,0
8389381,2001-06-30,1,1,1,0,0
8109684,2001-06-30,1,0,1,0,0
4020957,2001-06-30,1,0,1,0,0
8079447,2001-06-30,0,0,0,0,0
9517226,2001-06-30,1,0,0,0,0
5899946,2001-06-30,1,0,1,0,0
1718338,2001-06-30,0,0,1,0,0
2688686,2001-06-30,1,0,0,1,0
6259797,2001-06-30,1,1,1,0,0
2567858,2001-06-30,0,0,1,0,0
5944468,2001-06-30,0,0,0,0,0
5832575,2001-06-30,1,0,1,1,0
5036044,2001-06-30,1,0,1,0,0
4901660,2001-06-30,1,1,0,1,0
4999370,2001-06-30,0,0,0,0,0
8657962,2001-06-30,1,0,1,1,0
611465,2001-06-30,1,0,1,0,0
3504056,2001-06-30,0,0,1,0,0
9611223,2001-06-30,1,0,0,0,0
2481827,2001-06-30,1,1,1,0,0
2350363,2001-06-30,1,0,1,0,0
3219623,2001-06-30,1,0,1,0,0
3012095,2001-06-30,0,1,0,0,0
4759394,2001-06-30,1,1,1,0,0
5329851,2001-06-30,0,0,0,1,0
4715178,2001-06-30,1,1,0,0,0
4766531,2001-06-30,0,1,1,1,0
7398831,2001-06-30,1,1,1,0,0
6394541,2001-06-30,1,0,1,0,0
9564635,2001-06-30,0,0,0,1,0
221450,2001-06-30,1,1,0,0,0
2992316,2001-06-30,1,0,0,0,0
5797748,2001-06-30,1,0,1,0,0
1420592,2001-06-30,1,0,1,0,0
7984329,2001-06-30,0,1,0,0,0
9633103,2001-06-30,0,1,1,0,0
2129662,2001-06-30,0,0,1,0,0
4073054,2001-06-30,1,1,0,0,1
9956043,2001-06-30,1,0,1,0,0
6019211,2001-06-30,1,1,1,0,0
9512110,2001-06-30,0,0,0,0,0
8497891,2001-06-30,0,1,0,0,0
9262309,2001-06-30,0,0,0,0,0
3943981,2001-06-30,0,1,1,0,0
8058584,2001-06-30,0,0,0,0,0
3745836,2001-06-30,1,0,0,0,0
6948953,2001-06-30,0,0,1,0,0
9290575,2001-06-30,0,0,0,0,0
2238678,2001-06-30,1,1,0,0,0
6456042,2001-06-30,0,1,1,1,0
6864752,2001-06-30,1,0,1,1,0
6480336,2001-06-30,0,0,1,0,0
935493,2001-06-30,0,1,1,0,0
4819759,2001-06-30,1,0,1,0,0
8908412,2001-06-30,0,1,1,0,0
9764020,2001-06-30,0,0,1,0,0
4227130,2001-06-30,0,0,0,0,0
4057261,2001-06-30,0,0,1,1,0
9867634,2001-06-30,1,0,0,0,0
314414,2001-06-30,1,0,1,1,0
4005543,2001-06-30,1,0,1,1,0
5434451,2001-06-30,1,0,0,1,0
9074314,2001-06-30,1,1,0,0,0
1854014,2001-06-30,1,1,1,1,0
1807250,2001-06-30,0,0,0,1,0
7789918,2001-06-30,1,0,1,0,0
5994404,2001-06-30,0,0,1,0,0
91921,2001-06-30,1,0,0,1,1
2155706,2001-06-30,1,0,1,0,0
2383642,2001-06-30,1,1,0,0,0
4089888,2001-06-30,1,0,1,0,0
902384,2001-06-30,1,0,0,0,0
5895472,2001-06-30,0,1,1,1,0
5091883,2001-06-30,1,1,1,0,0
8866034,2001-06-30,1,1,0,0,0
5282175,2001-06-30,1,0,0,1,0
679467,2001-06-30,0,1,1,0,0
2175174,2001-06-30,0,0,1,0,0
5248066,2001-06-30,0,1,0,1,0
7735283,2001-06-30,1,0,1,0,0
2314177,2001-06-30,1,1,0,0,0
1812890,2001-06-30,1,0,1,0,0
4478197,2001-06-30,1,0,1,0,0
4912064,2001-06-30,1,0,1,0,0
74928,2001-06-30,1,1,1,0,0
5461174,2001-06-30,1,0,1,0,0
1992377,2001-06-30,1,1,0,0,0
5553343,2001-06-30,0,1,1,0,0
8974718,2001-06-30,0,0,1,0,0
1071015,2001-06-30,1,1,0,0,0
1092647,2001-06-30,1,0,0,0,0
9170136,2001-06-30,1,0,1,0,0
140184,2001-06-30,1,0,1,0,0
8611197,2001-06-30,1,0,0,0,0
9339708,2001-06-30,0,0,0,0,0
8312424,2001-06-30,1,0,1,0,0
6398983,2001-06-30,1,0,0,0,0
3977334,2001-06-30,1,0,0,1,0
2328109,2001-06-30,1,0,0,0,0
2726825,2001-06-30,1,0,1,0,0
5544065,2001-06-30,1,0,0,0,0
5466041,2001-06-30,1,0,0,0,0
149840,2001-06-30,1,0,0,0,0
2051650,2001-06-30,1,0,0,0,0
6715448,2001-06-30,1,0,0,0,0
1123757,2001-06-30,1,1,0,0,0
1053067,2001-06-30,1,0,1,0,0
3180980,2001-06-30,1,0,0,0,1
761932,2001-06-30,1,0,0,1,0
1712294,2001-06-30,0,1,1,0,0
6454472,2001-06-30,1,1,0,0,0
402957,2002-06-30,0,1,1,0,0
4933282,2002-06-30,1,1,0,0,0
6344796,2002-06-30,1,0,0,0,0
5927164,2002-06-30,1,1,0,0,0
4462681,2002-06-30,1,1,1,1,0
8291158,2002-06-30,0,0,1,0,0
7294337,2002-06-30,1,1,0,0,0
9895001,2002-06-30,1,1,1,1,0
5550344,2002-06-30,1,0,0,0,0
8905878,2002-06-30,1,0,0,1,0
6408621,2002-06-30,1,1,1,0,0
3478534,2002-06-30,1,0,0,1,0
5128059,2002-06-30,1,0,0,0,0
7365690,2002-06-30,0,0,0,1,0
9853693,2002-06-30,0,0,0,0,0
5391420,2002-06-30,0,0,0,0,0
2522009,2002-06-30,1,1,1,1,0
1963713,2002-06-30,1,1,1,0,0
3492398,2002-06-30,1,0,1,0,0
5008913,2002-06-30,0,0,0,0,0
2160779,2002-06-30,0,0,0,1,0
419818,2002-06-30,1,1,0,0,0
3511290,2002-06-30,1,1,1,0,0
1661262,2002-06-30,0,0,0,1,0
3351421,2002-06-30,1,1,1,0,0
5950692,2002-06-30,1,0,0,0,0
5274496,2002-06-30,1,0,0,0,0
9456675,2002-06-30,1,0,1,0,0
9636102,2002-06-30,0,0,0,1,0
3472587,2002-06-30,0,1,1,0,0
5191238,2002-06-30,0,1,1,0,0
2313278,2002-06-30,1,1,1,0,0
2532688,2002-06-30,1,1,0,1,0
2138294,2002-06-30,1,0,1,1,0
9135045,2002-06-30,0,0,1,0,0
1367348,2002-06-30,0,0,1,0,0
7678374,2002-06-30,1,1,0,0,0
7509468,2002-06-30,1,1,1,0,0
4325013,2002-06-30,1,0,1,0,0
8328413,2002-06-30,0,0,0,0,0
9317878,2002-06-30,1,0,0,0,0
3106222,2002-06-30,0,0,0,0,0
7057515,2002-06-30,1,0,0,1,0
1883541,2002-06-30,1,1,1,0,0
4576429,2002-06-30,1,0,1,0,0
661466,2002-06-30,1,1,1,1,0
8717447,2002-06-30,1,1,0,0,0
1619431,2002-06-30,0,0,0,0,0
8243337,2002-06-30,1,0,0,0,0
3849005,2002-06-30,1,1,0,0,0
3806100,2002-06-30,1,0,1,1,0
8792224,2002-06-30,1,0,1,0,0
5063420,2002-06-30,0,0,1,0,0
8029625,2002-06-30,1,0,0,0,0
6632588,2002-06-30,1,1,1,0,0
5073391,2002-06-30,1,1,0,0,0
1246513,2002-06-30,1,0,0,1,0
1599678,2002-06-30,1,1,0,0,0
5263379,2002-06-30,1,1,0,0,0
8326680,2002-06-30,1,0,1,0,0
902655,2002-06-30,1,1,0,1,0
8763628,2002-06-30,1,0,0,1,0
2992291,2002-06-30,0,0,1,1,0
3990522,2002-06-30,0,1,1,0,0
1148775,2002-06-30,1,0,1,0,0
6895986,2002-06-30,1,1,0,0,0
3446216,2002-06-30,1,1,1,0,0
603299,2002-06-30,0,1,1,1,0
4692239,2002-06-30,0,1,1,0,0
4585169,2002-06-30,0,0,1,1,0
3805202,2002-06-30,1,1,0,0,0
1471356,2002-06-30,0,1,1,0,0
3651221,2002-06-30,1,1,0,0,0
8102126,2002-06-30,1,0,1,0,0
4859807,2002-06-30,1,0,1,1,0
5519789,2002-06-30,0,0,0,0,0
6382749,2002-06-30,1,1,0,0,0
825451,2002-06-30,1,0,1,0,0
121566,2002-06-30,1,1,0,1,0
1068035,2002-06-30,1,0,0,0,0
